"";"created_at";"screen_name";"text"
"36";2019-09-04 22:11:07;"tribunkaltim";"https://t.co/0Nelj79ETa
#tolCipularang  #Cipularang  #kecelakaancipularang  #kecelakaanberuntun #kecelakaan #HyperLocal #LocalToViral #Balikpapan #Kaltim #Samarinda #KalimantanTimur #tribunkaltim"
"37";2019-09-06 21:23:19;"andhikayudho24";"Balik ke cerita temen gue, menurut lansiran berita @kompascom #kecelakaan di #bintaro karena supir mengantuk. Okey, gue simpulkan disini adalah kesalahan supirnya. Ngantuk masih dipaksain. Secara batin pun berontak antara emosi dan kasian. Lalu, siapa yg ganti rugi?"
"38";2019-09-06 21:15:01;"andhikayudho24";"Kenapa gue menyingkirkan versi 1, karena ini yg menginfokan temen gue (bukan yang kecelakaan). Gue masih mendalami validitasnya. Kita bahas versi 2 ya, karena balik lagi gue pernah mengalami #kecelakaan yang sama skala kecil."
"39";2019-09-06 21:17:12;"andhikayudho24";"Kalau #kecelakaan tersebut disebabkan oleh #truck lalu siapa yg bertanggung jawab dan siapa yg mengganti rugi? Kalau menurut gue tergantung. Tergantung dari apa penyebabnya truck bisa nyeruduk kendaraan didepan. Hal paling gue sesali adalah alasan kalau remnya blong."
"40";2019-09-06 19:37:15;"nasohanurrr";"GEBANG, https://t.co/vaZLwCTAxI – Belum genap 24 jam, kecelakaan yang menelan korban jiwa kembali terjadi di Purworejo, Jawa Tengah. Satu orang tewas  akibat tabrakan antara dua buah sepeda motor.  #beritapurworejo #kecelakaan #purworejo24 https://t.co/ZzaYBjYgEN https://t.co/O7Zj8tnEAB"
"41";2019-09-02 17:23:51;"mjefrisani";"Sekitar 10 kendaraan roda empat dan truk mengalami kecelakaan beruntun di tol Cipularang Km 91, Purwakarta, Jawa Barat.

Sebanyak 6 orang dilaporkan meninggal dunia dan 8 lainnya terluka.

#Kecelakaan #Cipularang #Bandung #JawaBarat #Purwakarta #BreakingiNews https://t.co/nDsy3xFfPe"
"42";2019-09-06 15:12:08;"mjefrisani";"Kecelakaan beruntun terjadi di Jalan Boulevard Bintaro Jaya, Pondok Aren, Tangerang Selatan. Insiden yang melibatkan 4 kendaraan pribadi dan 1 truk ini sedang dalam penanganan petugas.

#iNews #Bintaro #Kecelakaan #Macet #BintaroJaya https://t.co/d2lvAelX8R"
"43";2019-09-03 18:58:18;"mjefrisani";"Kecelakaan maut yang terjadi di Tol Cipularang arah ke Jakarta menyebabkan 7 orang tewas. Begini penjelasan polisi mengenai penanganan kecelakaan tersebut: #kecelakaan #tolcipularang 

via @20detik https://t.co/1REahfZiUX"
"44";2019-09-03 08:09:11;"MNCupdate";"Ini dia detik-detik kecelakaan maut di Tol Cipularang
.
(Sumber : MrHardTea &amp; KebacutBaper)
.
#mncnewsroom #breakingnews #lakalantas #jasamarga #kecelakaan #cipularang #tolcipularang https://t.co/TDVtEtcDms"
"45";2019-09-06 15:11:10;"MNCupdate";"Kecelakaan beruntun terjadi di Jalan Boulevard Bintaro Jaya, Pondok Aren, Tangerang Selatan. Insiden yang melibatkan 4 kendaraan pribadi dan 1 truk ini sedang dalam penanganan petugas.

#iNews #Bintaro #Kecelakaan #Macet #BintaroJaya https://t.co/d2lvAelX8R"
"46";2019-09-06 14:50:42;"purworejo24";"GEBANG, https://t.co/vaZLwCTAxI – Belum genap 24 jam, kecelakaan yang menelan korban jiwa kembali terjadi di Purworejo, Jawa Tengah. Satu orang tewas  akibat tabrakan antara dua buah sepeda motor.  #beritapurworejo #kecelakaan #purworejo24 https://t.co/ZzaYBjYgEN https://t.co/O7Zj8tnEAB"
"47";2019-09-03 01:15:40;"teruskaji";"Innalilahi.. Detik-Detik Sebelum Kecelakaan Beruntun di Cipularang Senin 2/9/19
#Cipularang #kecelakaan #otomotiv https://t.co/rCYXMj8j4E"
"48";2019-09-06 13:59:30;"teruskaji";"LAGI - Kecelakaan Tabrakan Beruntun, Kini Terjadi di Bintaro
#kecelakaan #kecelakaanberuntun https://t.co/yQx4BXyaQ0"
"49";2019-09-06 13:41:50;"eigloo";"Sekitar 10 kendaraan roda empat dan truk mengalami kecelakaan beruntun di tol Cipularang Km 91, Purwakarta, Jawa Barat.

Sebanyak 6 orang dilaporkan meninggal dunia dan 8 lainnya terluka.

#Kecelakaan #Cipularang #Bandung #JawaBarat #Purwakarta #BreakingiNews https://t.co/nDsy3xFfPe"
"50";2019-09-06 12:56:46;"Unayy_Joyy";"#sepakbola
#kamioposisi
#tipsprima
#kecelakaan
#shopeeliga1
#infopkucom
Minat https://t.co/pC2SVzbNMT"
"51";2019-09-06 12:20:23;"intansavhyraa";"Kecelakaan beruntun terjadi di Jalan Boulevard Bintaro Jaya, Pondok Aren, Tangerang Selatan. Insiden yang melibatkan 4 kendaraan pribadi dan 1 truk ini sedang dalam penanganan petugas.

#iNews #Bintaro #Kecelakaan #Macet #BintaroJaya https://t.co/d2lvAelX8R"
"52";2019-09-06 11:07:11;"AsliPoerworedjo";"Kecelakaan beruntun terjadi di Jalan Boulevard Bintaro Jaya, Pondok Aren, Tangerang Selatan. Insiden yang melibatkan 4 kendaraan pribadi dan 1 truk ini sedang dalam penanganan petugas.

#iNews #Bintaro #Kecelakaan #Macet #BintaroJaya https://t.co/d2lvAelX8R"
"53";2019-09-06 11:04:18;"day_by_96";"Kecelakaan beruntun terjadi di Jalan Boulevard Bintaro Jaya, Pondok Aren, Tangerang Selatan. Insiden yang melibatkan 4 kendaraan pribadi dan 1 truk ini sedang dalam penanganan petugas.

#iNews #Bintaro #Kecelakaan #Macet #BintaroJaya https://t.co/d2lvAelX8R"
"54";2019-09-06 11:03:19;"pinkeulava";"Kecelakaan beruntun terjadi di Jalan Boulevard Bintaro Jaya, Pondok Aren, Tangerang Selatan. Insiden yang melibatkan 4 kendaraan pribadi dan 1 truk ini sedang dalam penanganan petugas.

#iNews #Bintaro #Kecelakaan #Macet #BintaroJaya https://t.co/d2lvAelX8R"
"55";2019-09-06 10:50:24;"anandaarahman_";"Tanggung Jawab Polantas Jika Terjadi Kecelakaan Lalu Lintas - https://t.co/wmb1abxvxE 
#KlinikHukum #Polantas #Lalulintas #kecelakaan #polisiindonesia #polisi #Hukum #HukumIndonesia"
"56";2019-09-06 10:50:11;"anandaarahman_";"Kemana Menggugat jika ‘Celaka’ karena Jalanan Rusak? - https://t.co/NITmHsqHNS
#KlinikHukum #Kecelakaan #Gugat #Jalanrusak #Aspal #Kendaraan #Mobil #Motor #Hukum #HukumIndonesia"
"57";2019-09-06 10:48:00;"anandaarahman_";"Pencabutan SIM sebagai Pidana Tambahan dalam Kecelakaan Lalu Lintas - https://t.co/gdp2Re4eX4
#KlinikHukum #SIM #Pidana #Kecelakaan #Lalulintas #polisiindonesia #Hukum #HukumIndonesia"
"58";2019-09-06 10:50:23;"anandaarahman_";"Pertanggungjawaban Pidana dalam Kecelakaan Lalu Lintas - https://t.co/yvQMTh9LJF
#KlinikHukum #Pidana #Kecelakaan #Lalulintas #Kendaraan #Mobil #Motor #Hukum #HukumIndonesia"
"59";2019-09-06 10:48:11;"anandaarahman_";"Korban Kecelakaan Lalin Tidak Berwenang Menyita SIM/STNK Penabrak - https://t.co/5MhJw0PhnI  
#KlinikHukum #Kecelakaan #Lalulintas #Mobil #Motor #SIM #STNK #POLISI #Hukum #HukumIndonesia"
"60";2019-09-06 10:50:18;"anandaarahman_";"Pertanggungjawaban Hukum Dalam Kecelakaan yang Mengakibatkan Kematian - https://t.co/qC0Pn8CZSs
#KlinikHukum #Kecelakaan #Kematian #Lalulintas #Kendaraan #Mobil #Motor #Hukum #HukumIndonesia"
"61";2019-09-02 15:50:46;"WargaJurnal";"Video Detik-detik tabrakan beruntun terjadi di KM 91 +400 Tol Cipularang dari arah Bandung ke Jakarta.

#jurnalwarga #infowarga #Kecelakaan #cipularang #purbaleunyi #purwakarta #bandung #jakarta https://t.co/Oj96emrTaj"
"62";2019-09-06 10:45:07;"WargaJurnal";"Jumat 6 September 2019 Pukul 17.07 WIB Kecelakaan beruntun di Jl Boulevard Bintaro Jaya Tangerang Selatan. Belum diketahui penyebab kecelakaan ini terjadi

#jurnalwarga #infowarga #kecelakaan #bintaro #tangsel… https://t.co/2baoiRQ54N"
"63";2019-09-06 10:43:25;"AdipZr";"Kecelakaan beruntun terjadi di Jalan Boulevard Bintaro Jaya, Pondok Aren, Tangerang Selatan. Insiden yang melibatkan 4 kendaraan pribadi dan 1 truk ini sedang dalam penanganan petugas.

#iNews #Bintaro #Kecelakaan #Macet #BintaroJaya https://t.co/d2lvAelX8R"
"64";2019-09-06 10:37:35;"PKSCipadu";"Kecelakaan beruntun terjadi di Jalan Boulevard Bintaro Jaya, Pondok Aren, Tangerang Selatan. Insiden yang melibatkan 4 kendaraan pribadi dan 1 truk ini sedang dalam penanganan petugas.

#iNews #Bintaro #Kecelakaan #Macet #BintaroJaya https://t.co/d2lvAelX8R"
"65";2019-09-06 10:30:07;"atnicanacinta";"Kecelakaan beruntun terjadi di Jalan Boulevard Bintaro Jaya, Pondok Aren, Tangerang Selatan. Insiden yang melibatkan 4 kendaraan pribadi dan 1 truk ini sedang dalam penanganan petugas.

#iNews #Bintaro #Kecelakaan #Macet #BintaroJaya https://t.co/d2lvAelX8R"
"66";2019-09-03 05:31:48;"leksono_duto";"Sebanyak empat dari delapan korban meninggal dalam kecelakaan di KM 91 Tol Cipularang berhasil diidentifikasi. #Kecelakaan #LakaBeruntun #Cipularang #Purwakarta #SeputariNewsPagi #SeputariNewsRCTI

Saksikan selengkapnya di kanal YouTube Seputar iNews!
https://t.co/p7pbvyRxlj https://t.co/h19yGzrMep"
"67";2019-09-05 02:45:48;"leksono_duto";"Polisi menetapkan dua tersangka kasus kecelakaan beruntun di Tol Purbaleunyi, Purwakarta, Jawa Barat. #Kecelakaan #TolPurbaleunyi #LintasiNewsMalam #MNCTVNews

Saksikan selengkapnya di kanal YouTube Lintas iNews! https://t.co/xY2KfsIdXR https://t.co/IKrcMtgWFQ"
"68";2019-09-03 01:26:00;"leksono_duto";"Tabrakan beruntun yang menewaskan delapan orang di Tol Cipularang, Senin (2/9), diawali dengan tergulingnya truk di KM 91. #Kecelakaan #LakaBeruntun #Cipularang #SeputariNewsMalam #SeputariNewsRCTI

Saksikan selengkapnya di kanal YouTube Seputar iNews!
https://t.co/p7pbvyzVWJ https://t.co/mr2qDQQHjE"
"69";2019-09-03 05:13:57;"leksono_duto";"Kecelakaan di Tol Cipularang, Purwakarta, Jawa Barat, Senin (2/9) siang,  4 kendaraan terbakar, 8 orang meninggal, dan 28 lainnya terluka.  #Kecelakaan #Cipularang #SeputariNewsPagi #SeputariNewsRCTI

Saksikan selengkapnya di kanal YouTube Seputar iNews!
https://t.co/p7pbvyzVWJ https://t.co/n7iG7Lrjld"
